product_id,product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,seller,stock,sold_quantity,profit_margin_pct,is_organic,packaging_type,weight_g,shelf_life_days,reorder_level,demand_index,date_added,expiry_date,offer_type,delivery_status,revenue_inr,price_per_100g,weight_bucket,is_perishable,is_impulse_category,has_offer,is_small,impulse_score,basket_type,impulse_premium_pct,city_impulse_index
24,amul classic dairy 954,dairy,amul,69.42,10,62.48,4.4,462,31,bengaluru,localmart,87,77,33.4,False,packet,500,8,17,23,2024-09-07,2024-09-15,no offer,delayed,4810.96,12.495999999999999,mid,1,1,0,0,0.5,Mixed,-54.136803935163954,0.9849458155674083
25,aavin fresh dairy 748,dairy,aavin,222.09,25,166.57,4.5,267,53,mumbai,quickstores,133,234,16.8,False,can,500,14,26,63,2024-04-11,2024-04-25,freedelivery,delayed,38977.38,33.314,mid,1,1,1,0,0.7,Impulse,22.270047511519543,0.9848090911450436
26,freshfarm original fruits 804,fruits & vegetables,freshfarm,156.48,0,156.48,4.0,131,24,hyderabad,urbanseller,136,37,6.3,False,box,250,15,27,18,2025-10-15,2025-10-30,no offer,delayed,5789.759999999999,62.592,small,1,1,0,1,0.8,Impulse,-1.8513100525832056,1.0021408233089992
27,britannia fresh bakery 886,bakery,britannia,414.85,5,394.11,4.2,227,19,chennai,quickstores,124,121,27.3,False,bottle,100,12,24,54,2024-05-12,2024-05-24,no offer,on-time,47687.310000000005,394.11,small,1,1,0,1,0.8,Impulse,359.9583874106712,1.0102290037834531
28,aashirvaad daily grocery 706,grocery,aashirvaad,368.52,30,257.96,3.2,398,25,hyderabad,urbanseller,127,84,11.1,True,pouch,400,362,25,35,2025-06-13,2026-06-10,freedelivery,on-time,21668.64,64.49,mid,0,0,1,0,0.2,Planned,-22.67011240978433,1.0021408233089992
29,patanjali daily grocery 796,grocery,patanjali,95.09,5,90.34,5.0,502,28,chennai,dailyneeds,124,10,13.7,True,packet,300,440,24,40,2023-12-12,2025-02-24,buy1get1,on-time,903.4000000000001,30.113333333333333,mid,0,0,1,0,0.2,Planned,-63.89113534449742,1.0102290037834531
30,britannia lite snacks 121,snacks,britannia,113.23,15,96.25,4.4,408,30,chennai,localmart,86,5,20.2,True,jar,400,319,17,13,2024-09-08,2025-07-24,flatdiscount,on-time,481.25,24.0625,mid,0,1,1,0,0.45,Mixed,-53.34900049182034,1.0102290037834531
31,harpic fresh household 480,household,harpic,428.58,10,385.72,4.0,205,24,hyderabad,urbanseller,130,62,10.7,False,packet,100,987,26,31,2024-08-16,2027-04-30,no offer,on-time,23914.640000000003,385.72,small,0,0,0,1,0.3,Planned,114.64337124441985,1.0021408233089992
32,nivea family pack personal 502,personal care,nivea,84.34,10,75.91,4.2,383,24,kolkata,localmart,112,31,24.1,False,jar,200,946,22,39,2025-04-07,2027-11-09,flatdiscount,on-time,2353.21,37.955,small,0,0,1,1,0.5,Mixed,-70.2418200641822,0.9926416683821241
33,fortune organic grocery 280,grocery,fortune,471.9,5,448.3,4.3,437,23,kolkata,sellerb,76,106,29.4,False,can,200,646,15,30,2024-12-25,2026-10-02,cashback,on-time,47519.8,224.15,small,0,0,1,1,0.5,Mixed,168.77801679867957,0.9926416683821241
34,dailygreens lite fruits 299,fruits & vegetables,dailygreens,255.29,20,204.23,4.6,61,28,delhi,sellera,119,68,32.2,False,jar,2000,10,23,17,2023-12-18,2023-12-28,flatdiscount,delayed,13887.64,10.2115,bulk,1,1,1,0,0.7,Impulse,-83.98764462873774,1.014797842636215
35,patanjali original grocery 870,grocery,patanjali,183.59,25,137.69,4.1,361,41,lucknow,localmart,125,201,33.9,False,can,750,636,25,60,2024-04-07,2026-01-03,buy1get1,on-time,27675.69,18.358666666666668,bulk,0,0,1,0,0.2,Planned,-77.98614312855369,0.9899610382622132
36,harpic organic household 834,household,harpic,354.05,20,283.24,4.4,424,34,lucknow,dailyneeds,122,68,16.5,False,pouch,400,845,24,23,2024-08-01,2026-11-24,no offer,delayed,19260.32,70.81,mid,0,0,0,0,0.0,Planned,-60.596035679204164,0.9899610382622132
37,fortune original grocery 286,grocery,fortune,342.81,15,291.39,4.5,223,31,bengaluru,urbanseller,93,113,36.1,False,box,1000,605,18,55,2023-12-30,2025-08-26,no offer,on-time,32927.07,29.139,bulk,0,0,0,0,0.0,Planned,-65.05945736561802,0.9849458155674083
38,gowardhan family pack dairy 56,dairy,gowardhan,113.69,0,113.69,4.4,272,18,pune,dailyneeds,120,37,33.8,False,can,500,22,24,23,2024-06-08,2024-06-30,no offer,on-time,4206.53,22.738,mid,1,1,0,0,0.5,Mixed,-16.546306648348104,0.9761729157615873
39,dailygreens lite fruits 791,fruits & vegetables,dailygreens,285.43,0,285.43,3.5,167,21,ahmedabad,sellerb,126,105,36.7,False,can,2000,13,25,41,2023-11-24,2023-12-07,no offer,on-time,29970.15,14.2715,bulk,1,1,0,0,0.5,Mixed,-77.6212770228694,1.0225348626452144
40,britannia premium bakery 316,bakery,britannia,73.37,10,66.03,4.2,101,24,chennai,sellerb,97,390,25.4,False,box,750,6,19,97,2024-01-19,2024-01-25,no offer,on-time,25751.7,8.804,bulk,1,1,0,0,0.5,Mixed,-89.72501676495509,1.0102290037834531
41,aavin fresh dairy 715,dairy,aavin,242.06,5,229.96,4.5,73,22,delhi,sellera,164,210,39.8,True,can,500,14,32,66,2024-03-05,2024-03-19,no offer,on-time,48291.6,45.992000000000004,mid,1,1,0,0,0.5,Mixed,68.80122546526407,1.014797842636215
42,lay's organic snacks 835,snacks,lay's,31.4,10,28.26,4.2,282,30,bengaluru,localmart,123,86,36.5,True,bottle,400,115,24,47,2025-06-11,2025-10-04,no offer,on-time,2430.36,7.065,mid,0,1,0,0,0.25,Planned,-86.30278185868929,0.9849458155674083
43,dailygreens fresh fruits 127,fruits & vegetables,dailygreens,27.72,5,26.33,5.0,175,22,kolkata,sellera,115,80,7.7,True,can,100,8,23,17,2025-04-25,2025-05-03,no offer,on-time,2106.3999999999996,26.33,small,1,1,0,1,0.8,Impulse,-58.712694812188715,0.9926416683821241
44,p&g lite personal 892,personal care,p&g,780.28,30,546.2,4.4,152,41,mumbai,dailyneeds,112,311,19.6,False,jar,250,1256,22,90,2024-04-25,2027-10-03,buy1get1,delayed,169868.2,218.48000000000002,small,0,0,1,1,0.5,Mixed,71.29672381445064,0.9848090911450436
45,lizol family pack household 496,household,lizol,936.09,20,748.87,4.8,514,30,jaipur,quickstores,89,60,34.5,True,box,1000,864,17,29,2025-02-14,2027-06-28,flatdiscount,on-time,44932.2,74.887,bulk,0,0,1,0,0.2,Planned,-58.327288856214686,1.0232433225584974
46,p&g family pack personal 921,personal care,p&g,675.51,10,607.96,3.4,87,24,bengaluru,dailyneeds,104,427,38.1,False,box,400,1585,20,92,2025-10-15,2030-02-16,cashback,on-time,259598.92,151.99,mid,0,0,1,0,0.2,Planned,19.16600628230663,0.9849458155674083
47,parle fresh snacks 787,snacks,parle,256.4,0,256.4,3.7,459,29,ahmedabad,localmart,131,359,17.5,False,jar,1000,289,26,94,2023-11-14,2024-08-29,no offer,on-time,92047.59999999999,25.639999999999997,bulk,0,1,0,0,0.25,Planned,-50.29063366692047,1.0225348626452144
48,britannia daily snacks 534,snacks,britannia,42.93,15,36.49,5.0,358,35,lucknow,quickstores,118,80,19.1,False,box,1000,198,23,37,2024-09-05,2025-03-22,no offer,on-time,2919.2000000000003,3.649,bulk,0,1,0,0,0.25,Planned,-92.92552738886867,0.9899610382622132
49,britannia classic snacks 810,snacks,britannia,48.86,0,48.86,4.5,385,36,bengaluru,sellerb,85,1,20.3,False,jar,400,111,17,29,2024-05-13,2024-09-01,no offer,on-time,48.86,12.215,mid,0,1,0,0,0.25,Planned,-76.31825624966588,0.9849458155674083
50,surf excel original household 330,household,surf excel,908.95,5,863.5,5.0,48,25,delhi,localmart,101,197,14.0,False,jar,1000,575,20,67,2023-11-09,2025-06-06,flatdiscount,on-time,170109.5,86.35,bulk,0,0,1,0,0.2,Planned,-51.948420857213385,1.014797842636215
51,modern original bakery 102,bakery,modern,240.39,30,168.27,3.2,139,29,ahmedabad,sellera,125,34,17.1,False,pouch,100,4,25,13,2024-03-28,2024-04-01,cashback,delayed,5721.18,168.27,small,1,1,1,1,1.0,Impulse,96.38476021819709,1.0225348626452144
52,fortune classic grocery 621,grocery,fortune,450.46,10,405.41,3.7,427,27,hyderabad,localmart,95,25,8.1,False,can,750,641,19,6,2025-01-23,2026-10-26,no offer,on-time,10135.25,54.05466666666667,bulk,0,0,0,0,0.0,Planned,-35.18310905473854,1.0021408233089992
53,dailygreens premium fruits 674,fruits & vegetables,dailygreens,57.05,10,51.34,3.9,241,22,mumbai,sellerb,125,277,7.9,True,bottle,250,5,25,76,2025-05-15,2025-05-20,no offer,on-time,14221.18,20.536,small,1,1,0,1,0.8,Impulse,-67.79809725268163,0.9848090911450436
54,bakehouse family pack bakery 348,bakery,bakehouse,439.32,25,329.49,4.1,131,25,kolkata,quickstores,132,117,22.0,False,pouch,300,6,26,22,2025-07-29,2025-08-04,flatdiscount,on-time,38550.33,109.83,mid,1,1,1,0,0.7,Impulse,28.18053256530923,0.9926416683821241
55,lay's classic snacks 607,snacks,lay's,189.29,5,179.83,5.0,137,26,bengaluru,quickstores,125,204,23.6,True,bottle,400,364,25,70,2025-06-01,2026-05-31,cashback,on-time,36685.32,44.9575,mid,0,1,1,0,0.45,Mixed,-12.838968918899246,0.9849458155674083
56,bakehouse organic bakery 766,bakery,bakehouse,71.44,5,67.87,3.4,126,23,pune,localmart,111,40,16.5,True,can,100,8,22,5,2024-09-22,2024-09-30,flatdiscount,on-time,2714.8,67.87,small,1,1,1,1,1.0,Impulse,-20.790196255963416,0.9761729157615873
57,parle organic snacks 640,snacks,parle,44.73,20,35.78,5.0,156,33,bengaluru,dailyneeds,113,556,31.1,False,bottle,750,311,22,100,2024-01-29,2024-12-05,no offer,on-time,19893.68,4.770666666666667,bulk,0,1,0,0,0.25,Planned,-90.7509041736995,0.9849458155674083
58,p&g original personal 387,personal care,p&g,362.38,0,362.38,3.8,182,21,ahmedabad,quickstores,124,50,13.3,True,packet,200,1009,24,19,2024-07-12,2027-04-17,no offer,delayed,18119.0,181.19,small,0,0,0,1,0.3,Planned,42.059929457800756,1.0225348626452144
59,freshfarm family pack fruits 473,fruits & vegetables,freshfarm,49.7,0,49.7,3.9,28,24,kolkata,localmart,97,175,39.4,False,jar,1000,15,19,50,2023-12-19,2024-01-03,no offer,on-time,8697.5,4.970000000000001,bulk,1,1,0,0,0.5,Mixed,-92.20668793074735,0.9926416683821241
60,lizol family pack household 174,household,lizol,156.44,5,148.62,3.9,21,37,jaipur,sellerb,129,506,14.8,True,can,750,555,25,100,2024-06-14,2025-12-21,freedelivery,delayed,75201.72,19.816,bulk,0,0,1,0,0.2,Planned,-88.97289991553608,1.0232433225584974
61,britannia original bakery 560,bakery,britannia,389.36,0,389.36,3.8,236,11,pune,localmart,118,28,25.3,False,packet,300,9,23,21,2025-05-14,2025-05-23,no offer,on-time,10902.08,129.78666666666666,mid,1,1,0,0,0.5,Mixed,51.47158384056816,0.9761729157615873
62,coca-cola organic beverages 841,beverages,coca-cola,66.71,10,60.04,3.9,454,24,hyderabad,quickstores,127,31,28.9,False,pouch,500,461,25,22,2024-08-28,2025-12-02,cashback,on-time,1861.24,12.008,mid,0,1,1,0,0.45,Mixed,-69.31139788460774,1.0021408233089992
63,britannia family pack bakery 601,bakery,britannia,384.91,10,346.42,3.0,155,21,chennai,quickstores,131,55,11.3,False,packet,500,5,26,11,2025-10-11,2025-10-16,no offer,on-time,19053.100000000002,69.284,mid,1,1,0,0,0.5,Mixed,-19.139943382910992,1.0102290037834531
64,freshfarm daily fruits 812,fruits & vegetables,freshfarm,35.93,15,30.54,4.8,132,25,hyderabad,dailyneeds,130,40,33.5,False,packet,100,5,26,22,2025-03-25,2025-03-30,freedelivery,on-time,1221.6,30.54,small,1,1,1,1,1.0,Impulse,-52.11111658048778,1.0021408233089992
65,patanjali classic grocery 588,grocery,patanjali,339.29,10,305.36,4.6,523,28,ahmedabad,sellera,135,98,15.5,False,pouch,1000,451,27,13,2024-10-08,2026-01-02,flatdiscount,on-time,29925.280000000002,30.536,bulk,0,0,1,0,0.2,Planned,-63.38431621251627,1.0225348626452144
66,aashirvaad lite grocery 374,grocery,aashirvaad,378.85,10,340.97,4.4,376,28,ahmedabad,localmart,83,67,37.9,False,jar,400,412,16,30,2024-01-28,2025-03-15,no offer,on-time,22844.99,85.2425,mid,0,0,0,0,0.0,Planned,2.2141873609700786,1.0225348626452144
67,patanjali original grocery 760,grocery,patanjali,321.3,5,305.24,4.4,245,22,delhi,sellera,101,35,15.9,False,box,500,621,20,25,2024-03-25,2025-12-06,no offer,on-time,10683.4,61.048,mid,0,0,0,0,0.0,Planned,-26.797410798457328,1.014797842636215
68,pepsi original beverages 130,beverages,pepsi,98.24,15,83.5,4.2,439,21,hyderabad,localmart,135,393,10.2,False,bottle,1000,416,27,86,2024-07-14,2025-09-03,no offer,on-time,32815.5,8.35,bulk,0,1,0,0,0.25,Planned,-78.66007431183166,1.0021408233089992
69,modern original bakery 125,bakery,modern,130.04,15,110.53,4.6,201,34,chennai,localmart,100,41,36.8,False,jar,400,9,20,19,2024-09-01,2024-09-10,no offer,on-time,4531.7300000000005,27.6325,mid,1,1,0,0,0.5,Mixed,-67.75062764171076,1.0102290037834531
70,britannia fresh bakery 440,bakery,britannia,300.03,5,285.03,4.5,158,25,chennai,localmart,100,43,35.5,False,pouch,750,6,20,24,2023-11-05,2023-11-11,flatdiscount,on-time,12256.289999999999,38.004,bulk,1,1,1,0,0.7,Impulse,-55.64624456330682,1.0102290037834531
71,gowardhan organic dairy 844,dairy,gowardhan,235.74,10,212.17,4.4,521,28,kolkata,localmart,120,1,30.8,False,can,750,28,24,33,2025-09-02,2025-09-30,flatdiscount,on-time,212.17,28.28933333333333,bulk,1,1,1,0,0.7,Impulse,3.8283643734129784,0.9926416683821241
72,tata organic grocery 857,grocery,tata,468.5,25,351.38,3.7,559,24,delhi,localmart,113,126,19.0,True,box,500,605,22,37,2024-04-24,2025-12-20,no offer,on-time,44273.88,70.276,mid,0,0,0,0,0.0,Planned,-15.732126216622785,1.014797842636215
73,dove original personal 313,personal care,dove,72.17,5,68.56,3.7,180,12,pune,urbanseller,150,390,20.8,True,packet,200,653,30,76,2024-06-15,2026-03-30,cashback,on-time,26738.4,34.28,small,0,0,1,1,0.5,Mixed,-73.12316142274182,0.9761729157615873
74,dailygreens classic fruits 859,fruits & vegetables,dailygreens,97.6,10,87.84,4.1,152,23,delhi,quickstores,112,362,27.1,False,jar,500,12,22,64,2024-11-21,2024-12-03,cashback,delayed,31798.08,17.568,mid,1,1,1,0,0.7,Impulse,-72.45213150248884,1.014797842636215
75,fortune family pack grocery 75,grocery,fortune,26.29,15,22.35,4.1,343,28,lucknow,quickstores,140,82,36.4,True,jar,1000,489,28,34,2025-08-22,2026-12-24,no offer,on-time,1832.7,2.2350000000000003,bulk,0,0,0,0,0.0,Planned,-97.32001397481575,0.9899610382622132
76,aavin family pack dairy 168,dairy,aavin,83.08,0,83.08,4.2,131,23,kolkata,localmart,71,408,20.4,False,jar,1000,25,14,67,2024-04-03,2024-04-28,cashback,on-time,33896.64,8.308,bulk,1,1,1,0,0.7,Impulse,-69.50772784037629,0.9926416683821241
77,bakehouse lite bakery 336,bakery,bakehouse,212.37,10,191.13,4.0,156,23,chennai,sellerb,127,324,19.3,False,box,200,12,25,61,2024-11-07,2024-11-19,flatdiscount,delayed,61926.119999999995,95.565,small,1,1,1,1,1.0,Impulse,11.532118679812223,1.0102290037834531
78,p&g lite personal 332,personal care,p&g,49.55,0,49.55,4.7,50,37,mumbai,dailyneeds,77,214,11.2,True,pouch,500,863,15,58,2024-03-04,2026-07-15,buy1get1,on-time,10603.699999999999,9.91,mid,0,0,1,0,0.2,Planned,-92.23017881270044,0.9848090911450436
79,itc fresh snacks 386,snacks,itc,199.3,0,199.3,4.1,512,25,bengaluru,localmart,91,446,12.2,False,bottle,400,149,18,90,2024-02-17,2024-07-15,flatdiscount,on-time,88887.8,49.825,mid,0,1,1,0,0.45,Mixed,-3.402138161244618,0.9849458155674083
80,aavin fresh dairy 652,dairy,aavin,101.56,20,81.25,4.4,226,17,delhi,sellerb,109,13,18.3,False,can,250,30,21,8,2024-01-01,2024-01-31,no offer,on-time,1056.25,32.5,small,1,1,0,1,0.8,Impulse,19.282480162225642,1.014797842636215
81,patanjali fresh grocery 679,grocery,patanjali,303.34,5,288.17,3.6,102,45,lucknow,quickstores,107,345,33.0,True,pouch,1000,591,21,74,2025-01-06,2026-08-20,flatdiscount,on-time,99418.65000000001,28.817,bulk,0,0,1,0,0.2,Planned,-65.44556720906736,0.9899610382622132
82,britannia classic bakery 379,bakery,britannia,224.1,0,224.1,4.4,230,17,bengaluru,sellera,81,6,14.5,False,packet,400,9,16,16,2025-03-28,2025-04-06,flatdiscount,on-time,1344.6,56.025,mid,1,1,1,0,0.7,Impulse,-34.61427354118684,0.9849458155674083
83,fortune lite grocery 512,grocery,fortune,28.83,25,21.62,4.3,498,21,kolkata,dailyneeds,102,35,5.4,False,packet,200,500,20,25,2025-01-07,2026-05-22,no offer,on-time,756.7,10.81,small,0,0,0,1,0.3,Planned,-87.03774096991422,0.9926416683821241
84,tropicana classic beverages 143,beverages,tropicana,60.86,25,45.64,4.3,513,35,mumbai,sellera,111,176,18.4,False,bottle,1500,120,22,56,2025-06-19,2025-10-17,freedelivery,on-time,8032.64,3.042666666666667,bulk,0,1,1,0,0.45,Mixed,-92.22391849574448,0.9848090911450436
85,patanjali daily grocery 944,grocery,patanjali,269.08,0,269.08,4.5,366,19,hyderabad,urbanseller,86,4,17.4,False,box,200,699,17,7,2024-06-01,2026-05-01,no offer,on-time,1076.32,134.54,small,0,0,0,1,0.3,Planned,61.32676502384271,1.0021408233089992
86,aashirvaad daily grocery 167,grocery,aashirvaad,365.14,5,346.88,3.7,491,37,pune,localmart,111,68,6.8,True,can,400,209,22,5,2024-04-29,2024-11-24,no offer,delayed,23587.84,86.72,mid,0,0,0,0,0.0,Planned,3.9858559749341516,0.9761729157615873
87,dove premium personal 235,personal care,dove,412.2,10,370.98,4.8,44,28,jaipur,urbanseller,89,496,20.2,True,pouch,300,1135,17,100,2024-12-30,2028-02-08,no offer,on-time,184006.08000000002,123.66000000000001,mid,0,0,0,0,0.0,Planned,-3.045803428712163,1.0232433225584974
88,dettol classic household 954,household,dettol,284.08,20,227.26,4.5,36,33,bengaluru,sellerb,130,2,24.0,True,box,1000,1720,26,13,2025-01-04,2029-09-20,no offer,on-time,454.52,22.726,bulk,0,0,0,0,0.0,Planned,-87.35355891605133,0.9849458155674083
89,harpic classic household 403,household,harpic,879.3,15,747.4,4.5,198,36,mumbai,quickstores,134,28,39.6,False,can,400,458,26,20,2024-06-09,2025-09-10,no offer,on-time,20927.2,186.85,mid,0,0,0,0,0.0,Planned,3.977273454889163,0.9848090911450436
90,mother dairy organic dairy 266,dairy,mother dairy,238.25,0,238.25,4.4,426,29,bengaluru,quickstores,100,266,39.0,True,packet,1000,12,20,65,2024-03-08,2024-03-20,no offer,on-time,63374.5,23.825,bulk,1,1,0,0,0.5,Mixed,-12.55676646569151,0.9849458155674083
91,p&g lite personal 932,personal care,p&g,757.09,10,681.38,4.2,217,25,delhi,dailyneeds,91,10,9.2,True,box,750,1539,18,19,2024-12-15,2029-03-03,buy1get1,on-time,6813.8,90.85066666666667,bulk,0,0,1,0,0.2,Planned,-28.769582770236564,1.014797842636215
92,patanjali premium grocery 382,grocery,patanjali,56.94,15,48.4,4.8,112,27,jaipur,dailyneeds,128,102,26.9,False,pouch,750,288,25,48,2024-07-03,2025-04-17,no offer,on-time,4936.8,6.453333333333333,bulk,0,0,0,0,0.0,Planned,-92.26181514577674,1.0232433225584974
93,patanjali organic grocery 813,grocery,patanjali,445.27,10,400.74,4.2,402,33,kolkata,quickstores,125,123,27.0,True,can,300,537,25,11,2024-10-21,2026-04-11,buy1get1,delayed,49291.020000000004,133.58,mid,0,0,1,0,0.2,Planned,60.17563008685085,0.9926416683821241
94,pepsi classic beverages 199,beverages,pepsi,307.68,30,215.38,4.0,192,35,kolkata,sellerb,124,154,15.1,True,bottle,1000,327,24,32,2025-05-27,2026-04-19,buy1get1,on-time,33168.52,21.538,bulk,0,1,1,0,0.45,Mixed,-44.955770123141356,0.9926416683821241
95,dove original personal 500,personal care,dove,258.16,0,258.16,4.2,53,31,ahmedabad,dailyneeds,125,175,35.8,False,can,100,1085,25,38,2025-03-30,2028-03-19,no offer,on-time,45178.00000000001,258.16,small,0,0,0,1,0.3,Planned,102.40737010224541,1.0225348626452144
